Experiment,Source quality,Daily equal-vol scale,Observations,Years,CAGR,Log growth,Volatility,Sharpe,Max drawdown,Worst day,Skew,CAGR uplift vs baseline,Mean daily PnL difference,Stdev daily PnL difference,Daily t-stat requested formula,Daily Newey-West t-stat 5 lags,Daily Newey-West t-stat 20 lags,Weekly t-stat from same daily P&Ls,Category,Hypothesis,Daily full-search max-t adjusted p
Static grid candidate 225,Direct daily source P&L,1.0620219331579286,4719,18.726190476190474,0.3896359546553616,0.329041809714348,0.32498600321183235,1.1354910958755813,-0.4674038994195664,-0.15265645497575367,-0.4580671908186771,0.03190373206879915,9.232629002832739e-05,0.0073180648772256975,0.866670706955444,0.8499748513755845,0.8251466753388438,0.9269003800249187,Static grid search,,1.0
Static grid candidate 221,Direct daily source P&L,1.056759922640993,4719,18.726190476190474,0.38898306835573204,0.32857187388922243,0.32498176366045073,1.1337619778579033,-0.44278823421894875,-0.1380982310982997,-0.34041569666478944,0.03125084576916959,9.009627671187755e-05,0.0072464136525041455,0.8540999785291401,0.8796709233228968,0.8895445074158568,0.901448310008453,Static grid search,,1.0
Static grid candidate 417,Direct daily source P&L,1.0467976628150637,4719,18.726190476190474,0.3996791400786408,0.3362430246960525,0.3249823333927292,1.1579623795451828,-0.4479771377101788,-0.1923106305378948,-0.5300715215788151,0.04194691749207835,0.00012130711222126498,0.009828134336549036,0.8478912800526727,0.8493899844504252,0.8600603434406755,0.8791923124484339,Static grid search,,1.0
Static grid candidate 046,Direct daily source P&L,1.0481419382655808,4719,18.726190476190474,0.38578456634022285,0.32626645314539104,0.32498624818607963,1.127269297796866,-0.45429710442352855,-0.1848873800722697,-0.5503582175150286,0.02805234375366039,8.172278060141264e-05,0.006754288752478572,0.8311673989378969,0.8875736835928213,0.9089102672351931,0.9311185540740364,Static grid search,,1.0
"Static: commodities 4%, gold only",Direct daily source P&L,1.0335867667117846,4719,18.726190476190474,0.3633437436437008,0.3099403172819218,0.32498061204617135,1.0765847729859956,-0.4474140727687005,-0.11231325888389854,-0.4404772362790765,0.005611521057138358,1.6355833920726698e-05,0.0013543326783000398,0.8296068381648459,0.8130830090671701,0.8211093703311542,0.5357723561054534,Static risk budgets,Change static commodity beta and its mix.,1.0
Static grid candidate 452,Direct daily source P&L,1.0305179314218869,4719,18.726190476190474,0.3895817095223697,0.3290027734533902,0.324980477791313,1.1355472403160918,-0.4284512754609855,-0.176954147113318,-0.4968319124228788,0.03184948693580725,9.239869853295384e-05,0.0076548341157867145,0.8291919152410939,0.8281736574991785,0.8764054032552728,0.7858973699659205,Static grid search,,1.0
Static grid candidate 023,Direct daily source P&L,1.060746468949684,4719,18.726190476190474,0.38377171763109086,0.32481289968256416,0.32498520930527974,1.1222990261755892,-0.4356245389210981,-0.11392423371057067,-0.3930691751000011,0.026039495044528405,7.531270807397249e-05,0.006246410187139369,0.8282524951030245,0.8547594944338293,0.8820208460548858,0.9770646558275238,Static grid search,,1.0
"High-vol equity cut: 13w, q90%, cut 25%",Direct daily source P&L,1.0515830771645196,4719,18.726190476190474,0.3687874814796579,0.31392529793717644,0.32498213926008496,1.0888602158515408,-0.47945917294477447,-0.11324795390246281,-0.43989741932794846,0.011055258893095443,3.2187258251290804e-05,0.002682259854491147,0.8243433212421348,0.8612630047703863,0.8460115663356101,0.8887692796631583,Regime allocation,Reduce direct equity during unusually high realized-volatility regimes.,1.0
Static grid candidate 476,Direct daily source P&L,1.0723700327094925,4719,18.726190476190474,0.3971356972139646,0.3344242102847997,0.32498350388803404,1.1518202445951589,-0.45789142938943417,-0.1324763131111574,-0.3482328316093065,0.039403474627402124,0.000113385708019846,0.009483243546348727,0.8213464810717762,0.8448056980636551,0.8284448807862547,0.9263726913322681,Static grid search,,1.0
Static: remove Silver,Direct daily source P&L,1.0361113819445307,4719,18.726190476190474,0.3614379257351088,0.30854143953638113,0.324980717534555,1.0722818243929702,-0.4542397499173413,-0.11202000813168046,-0.44321174180453793,0.0037057031485463465,1.0806396251150085e-05,0.0009104330140934063,0.815375915690919,0.821876770186281,0.8206886469431797,0.5341409449682832,Leave-one-out,Remove Silver and redistribute its allocation pro rata.,1.0
Static grid candidate 284,Direct daily source P&L,1.0645591662140597,4719,18.726190476190474,0.3707168117370536,0.31533382325407205,0.3249818072006081,1.0932007473468448,-0.4674477212114133,-0.11601122051842044,-0.43929869430215895,0.012984589150491166,3.778516593372644e-05,0.003184061703740049,0.8152012691302778,0.8212031460966697,0.80176226644392,1.0004954076069859,Static grid search,,1.0
Static grid candidate 194,Direct daily source P&L,1.019298040701438,4719,18.726190476190474,0.3769194613808411,0.31984872956892807,0.32498436190720753,1.1075644254641228,-0.424223658436519,-0.1751506625375428,-0.5930270434690587,0.019187238794278638,5.630975080720023e-05,0.004786595923435579,0.8081311131685542,0.8354859598824405,0.8944482940147129,0.7433679111286475,Static grid search,,1.0
"High-vol equity cut: 26w, q80%, cut 25%",Direct daily source P&L,1.0555731519287594,4719,18.726190476190474,0.3736275313970998,0.3174550736421842,0.3249827213004051,1.0997920708642108,-0.48233503383195875,-0.11880286942664119,-0.4628562596110794,0.015895308810537356,4.628588078747308e-05,0.003943870592424712,0.806214982737504,0.8244081129590263,0.7947098532764668,0.9015500288610752,Regime allocation,Reduce direct equity during unusually high realized-volatility regimes.,1.0
Static grid candidate 492,Direct daily source P&L,1.0571343901008439,4719,18.726190476190474,0.3850221502193121,0.3257161324495475,0.32497970839439766,1.1250403631752088,-0.4565537997315994,-0.1302543357986311,-0.37508336227632744,0.027289927632749622,7.884816253776758e-05,0.0068573940326141876,0.7898733489314124,0.7930909737609674,0.7909566174456876,0.8318601950534373,Static grid search,,1.0
Combined: QQQ 75% + rates 20% + fast 4/26,Direct daily source P&L,1.0379018074636017,4719,18.726190476190474,0.3784901067025819,0.3209887745989293,0.32498393362813544,1.110370410874504,-0.5159314988352522,-0.11505036959340656,-0.3302100567869006,0.02075788411601942,5.992858119757277e-05,0.0053821274691802125,0.7649006065829451,0.7878403546283196,0.7932394065475553,0.7263832308047603,Combined candidate,,1.0
Static grid candidate 045,Direct daily source P&L,1.051373193625091,4719,18.726190476190474,0.3835628167555931,0.32466192344655137,0.32498199532246336,1.121827003418253,-0.46255136220089665,-0.1319866278642582,-0.3874676739350742,0.025830594169030663,7.470394856550265e-05,0.006755962005093292,0.7595936889573088,0.7727645708570385,0.7538673711117974,0.7850695729884926,Static grid search,,1.0
Static grid candidate 101,Direct daily source P&L,1.076371586623583,4719,18.726190476190474,0.39078509743071166,0.32986840598826006,0.3249825525405447,1.1379593548803955,-0.45735122274656803,-0.12295543251959115,-0.42439140298812533,0.033052874844149205,9.550956057025002e-05,0.008837579236748851,0.7424009431449237,0.7305189666500016,0.7143336954069913,0.8616013509766443,Static grid search,,1.0
Static grid candidate 267,Direct daily source P&L,1.0642357155788538,4719,18.726190476190474,0.37590241627969023,0.3191098185949351,0.3249845263338535,1.1050032040208824,-0.4702711621583531,-0.13655441864627904,-0.5056394588974836,0.01817019369312778,5.3006588231592796e-05,0.004947381428254168,0.7360027651588233,0.7555213933098494,0.716755968891767,0.8969087953168307,Static grid search,,1.0
Static grid candidate 281,Direct daily source P&L,1.05464210174167,4719,18.726190476190474,0.38909025244664486,0.3286490382247805,0.32498333588319556,1.1345895518543667,-0.4592904637662305,-0.18865225526248652,-0.535843168645428,0.031358029860082404,9.116358444541139e-05,0.008530471665705825,0.7341306168859333,0.7522038590301703,0.7701259577819526,0.8110346957712568,Static grid search,,1.0
